arm,segment,matches,exact_score_nll_vs_baseline,total_goals_error_vs_baseline,over_2_5_brier_vs_baseline,btts_brier_vs_baseline
DOMESTIC_AD_GOALS_FORM,ALL,3528,0.00035419148825986923,0.0005580485163604324,0.00047897087448986627,-0.00038547745971021435
DOMESTIC_AD_GOALS_FORM,PHASE:MAIN,1876,-0.0007236118576569911,0.00030174121957304633,0.0006113717662701912,-0.00021823462608615147
DOMESTIC_AD_GOALS_FORM,PHASE:QUALIFYING,1652,0.0015781376607417272,0.0008491093449155998,0.00032861731941729395,-0.0005753972877239806
DOMESTIC_AD_GOALS_FORM,XG_PRESENT,2074,-0.000468203479720823,0.00027038364165686747,0.0005126169779602782,-0.00021589419938940275
DOMESTIC_AD_GOALS_FORM,XG_ABSENT,1454,0.0015272638153519982,0.0009683765425882133,0.00043097773927828863,-0.0006273727017359111
DOMESTIC_AD_XG_FORM,ALL,3528,-0.002320746430124889,-0.0027708989972319476,-0.0002983427660325489,-0.0004024645685594603
DOMESTIC_AD_XG_FORM,PHASE:MAIN,1876,-0.00674584759109298,-0.004851585894660282,-0.0007113565319289244,-0.0005486954733932474
DOMESTIC_AD_XG_FORM,PHASE:QUALIFYING,1652,0.002704368447584638,-0.00040808506286417825,0.00017067286642604663,-0.00023640574442617673
DOMESTIC_AD_XG_FORM,XG_PRESENT,2074,-0.005615247671187367,-0.00413016344880304,-0.0005924597828045472,-0.000548470734957277
DOMESTIC_AD_XG_FORM,XG_ABSENT,1454,0.0023785627679243416,-0.0008320307217447085,0.00012118865954181444,-0.00019419992680631595
