arm,reference,segment,metric,method,matches,clusters,mean_difference,ci_95_lower,ci_95_upper,reliable_improvement,reliable_harm
DOMESTIC_AD_GOALS_FORM,DOMESTIC_AD,ALL,exact_score_nll,tie_or_match,3528,2457,0.00035419148825986923,-0.002480724578726604,0.003114198635334395,False,False
DOMESTIC_AD_GOALS_FORM,DOMESTIC_AD,ALL,exact_score_nll,team_season,3528,939,0.00035419148825986923,-0.0016552885666537712,0.0023264240492276113,False,False
DOMESTIC_AD_GOALS_FORM,DOMESTIC_AD,ALL,exact_score_nll,calendar_month,3528,45,0.00035419148825986923,-0.002778253441629852,0.003408700570926168,False,False
DOMESTIC_AD_GOALS_FORM,DOMESTIC_AD,ALL,exact_score_nll,conservative_envelope,3528,,0.00035419148825986923,-0.002778253441629852,0.003408700570926168,False,False
DOMESTIC_AD_GOALS_FORM,DOMESTIC_AD,ALL,over_2_5_brier,tie_or_match,3528,2457,0.00047897087448986627,-0.0003807267603286676,0.0013427752828453546,False,False
DOMESTIC_AD_GOALS_FORM,DOMESTIC_AD,ALL,over_2_5_brier,team_season,3528,939,0.00047897087448986627,-0.00014055686770307211,0.0010876523734640185,False,False
DOMESTIC_AD_GOALS_FORM,DOMESTIC_AD,ALL,over_2_5_brier,calendar_month,3528,45,0.00047897087448986627,-0.0006434775346335935,0.0016097368563412272,False,False
DOMESTIC_AD_GOALS_FORM,DOMESTIC_AD,ALL,over_2_5_brier,conservative_envelope,3528,,0.00047897087448986627,-0.0006434775346335935,0.0016097368563412272,False,False
DOMESTIC_AD_GOALS_FORM,DOMESTIC_AD,PHASE:MAIN,exact_score_nll,tie_or_match,1876,1628,-0.0007236118576569911,-0.004735983703797656,0.0030889207231713347,False,False
DOMESTIC_AD_GOALS_FORM,DOMESTIC_AD,PHASE:MAIN,exact_score_nll,team_season,1876,408,-0.0007236118576569911,-0.003509315348456019,0.0020207158769184664,False,False
DOMESTIC_AD_GOALS_FORM,DOMESTIC_AD,PHASE:MAIN,exact_score_nll,calendar_month,1876,35,-0.0007236118576569911,-0.004499865351568292,0.002882899019105305,False,False
DOMESTIC_AD_GOALS_FORM,DOMESTIC_AD,PHASE:MAIN,exact_score_nll,conservative_envelope,1876,,-0.0007236118576569911,-0.004735983703797656,0.0030889207231713347,False,False
DOMESTIC_AD_GOALS_FORM,DOMESTIC_AD,PHASE:MAIN,over_2_5_brier,tie_or_match,1876,1628,0.0006113717662701912,-0.0005580455781447571,0.0018282226068479642,False,False
DOMESTIC_AD_GOALS_FORM,DOMESTIC_AD,PHASE:MAIN,over_2_5_brier,team_season,1876,408,0.0006113717662701912,-0.00021046709867800334,0.0014387467462236194,False,False
DOMESTIC_AD_GOALS_FORM,DOMESTIC_AD,PHASE:MAIN,over_2_5_brier,calendar_month,1876,35,0.0006113717662701912,-0.0008939594485044905,0.0021851253592227405,False,False
DOMESTIC_AD_GOALS_FORM,DOMESTIC_AD,PHASE:MAIN,over_2_5_brier,conservative_envelope,1876,,0.0006113717662701912,-0.0008939594485044905,0.0021851253592227405,False,False
DOMESTIC_AD_GOALS_FORM,DOMESTIC_AD,PHASE:QUALIFYING,exact_score_nll,tie_or_match,1652,829,0.0015781376607417272,-0.002335070474524549,0.005548508110579298,False,False
DOMESTIC_AD_GOALS_FORM,DOMESTIC_AD,PHASE:QUALIFYING,exact_score_nll,team_season,1652,779,0.0015781376607417272,-0.0012159764846306498,0.0043925254306139,False,False
DOMESTIC_AD_GOALS_FORM,DOMESTIC_AD,PHASE:QUALIFYING,exact_score_nll,calendar_month,1652,10,0.0015781376607417272,-0.0030695398952750347,0.006626574842878451,False,False
DOMESTIC_AD_GOALS_FORM,DOMESTIC_AD,PHASE:QUALIFYING,exact_score_nll,conservative_envelope,1652,,0.0015781376607417272,-0.0030695398952750347,0.006626574842878451,False,False
DOMESTIC_AD_GOALS_FORM,DOMESTIC_AD,PHASE:QUALIFYING,over_2_5_brier,tie_or_match,1652,829,0.00032861731941729395,-0.0008831703794051287,0.00153786589456411,False,False
DOMESTIC_AD_GOALS_FORM,DOMESTIC_AD,PHASE:QUALIFYING,over_2_5_brier,team_season,1652,779,0.00032861731941729395,-0.0005697668184247273,0.0011868724496881804,False,False
DOMESTIC_AD_GOALS_FORM,DOMESTIC_AD,PHASE:QUALIFYING,over_2_5_brier,calendar_month,1652,10,0.00032861731941729395,-0.0012660213698149302,0.00187496125311579,False,False
DOMESTIC_AD_GOALS_FORM,DOMESTIC_AD,PHASE:QUALIFYING,over_2_5_brier,conservative_envelope,1652,,0.00032861731941729395,-0.0012660213698149302,0.00187496125311579,False,False
DOMESTIC_AD_GOALS_FORM,DOMESTIC_AD,XG_PRESENT,exact_score_nll,tie_or_match,2074,1746,-0.000468203479720823,-0.004260762571679485,0.003265739534565266,False,False
DOMESTIC_AD_GOALS_FORM,DOMESTIC_AD,XG_PRESENT,exact_score_nll,team_season,2074,437,-0.000468203479720823,-0.0030079716559044327,0.0020393723295551755,False,False
DOMESTIC_AD_GOALS_FORM,DOMESTIC_AD,XG_PRESENT,exact_score_nll,calendar_month,2074,43,-0.000468203479720823,-0.004022989636706634,0.002955292538068357,False,False
DOMESTIC_AD_GOALS_FORM,DOMESTIC_AD,XG_PRESENT,exact_score_nll,conservative_envelope,2074,,-0.000468203479720823,-0.004260762571679485,0.003265739534565266,False,False
DOMESTIC_AD_GOALS_FORM,DOMESTIC_AD,XG_PRESENT,over_2_5_brier,tie_or_match,2074,1746,0.0005126169779602782,-0.0006045030675653338,0.001661849254006367,False,False
