arm,reference,segment,metric,method,matches,clusters,mean_difference,ci_95_lower,ci_95_upper,reliable_improvement,reliable_harm
DOMESTIC_AD_GOALS_FORM,DOMESTIC_AD,ALL,exact_score_nll,tie_or_match,3528,2457,-0.00042980588846261306,-0.0025660289156838145,0.0016411110369037756,False,False
DOMESTIC_AD_GOALS_FORM,DOMESTIC_AD,ALL,exact_score_nll,team_season,3528,939,-0.00042980588846261306,-0.0019347820145736026,0.0010711405483770442,False,False
DOMESTIC_AD_GOALS_FORM,DOMESTIC_AD,ALL,exact_score_nll,calendar_month,3528,45,-0.00042980588846261306,-0.0024811467153962588,0.0015134187298679964,False,False
DOMESTIC_AD_GOALS_FORM,DOMESTIC_AD,ALL,exact_score_nll,conservative_envelope,3528,,-0.00042980588846261306,-0.0025660289156838145,0.0016411110369037756,False,False
DOMESTIC_AD_GOALS_FORM,DOMESTIC_AD,ALL,over_2_5_brier,tie_or_match,3528,2457,0.00022295909368546298,-0.0004040478229455192,0.000880002124526896,False,False
DOMESTIC_AD_GOALS_FORM,DOMESTIC_AD,ALL,over_2_5_brier,team_season,3528,939,0.00022295909368546298,-0.0002290793988239582,0.0006556670188404436,False,False
DOMESTIC_AD_GOALS_FORM,DOMESTIC_AD,ALL,over_2_5_brier,calendar_month,3528,45,0.00022295909368546298,-0.0005785831853625706,0.0010038881106339366,False,False
DOMESTIC_AD_GOALS_FORM,DOMESTIC_AD,ALL,over_2_5_brier,conservative_envelope,3528,,0.00022295909368546298,-0.0005785831853625706,0.0010038881106339366,False,False
DOMESTIC_AD_GOALS_FORM,DOMESTIC_AD,PHASE:MAIN,exact_score_nll,tie_or_match,1876,1628,-0.0017205801842916954,-0.004721618315203642,0.0012381941098573875,False,False
DOMESTIC_AD_GOALS_FORM,DOMESTIC_AD,PHASE:MAIN,exact_score_nll,team_season,1876,408,-0.0017205801842916954,-0.0038923646285960187,0.00043530339659138186,False,False
DOMESTIC_AD_GOALS_FORM,DOMESTIC_AD,PHASE:MAIN,exact_score_nll,calendar_month,1876,35,-0.0017205801842916954,-0.004142836214997613,0.0004663776082205521,False,False
DOMESTIC_AD_GOALS_FORM,DOMESTIC_AD,PHASE:MAIN,exact_score_nll,conservative_envelope,1876,,-0.0017205801842916954,-0.004721618315203642,0.0012381941098573875,False,False
DOMESTIC_AD_GOALS_FORM,DOMESTIC_AD,PHASE:MAIN,over_2_5_brier,tie_or_match,1876,1628,7.05949176599235e-05,-0.0008101658202406953,0.0009435460707891216,False,False
DOMESTIC_AD_GOALS_FORM,DOMESTIC_AD,PHASE:MAIN,over_2_5_brier,team_season,1876,408,7.05949176599235e-05,-0.0005467955535596918,0.000678707373886794,False,False
DOMESTIC_AD_GOALS_FORM,DOMESTIC_AD,PHASE:MAIN,over_2_5_brier,calendar_month,1876,35,7.05949176599235e-05,-0.0010441300553635127,0.0011922690626857187,False,False
DOMESTIC_AD_GOALS_FORM,DOMESTIC_AD,PHASE:MAIN,over_2_5_brier,conservative_envelope,1876,,7.05949176599235e-05,-0.0010441300553635127,0.0011922690626857187,False,False
DOMESTIC_AD_GOALS_FORM,DOMESTIC_AD,PHASE:QUALIFYING,exact_score_nll,tie_or_match,1652,829,0.0010359886508687177,-0.0019396931602221439,0.003999298904415837,False,False
DOMESTIC_AD_GOALS_FORM,DOMESTIC_AD,PHASE:QUALIFYING,exact_score_nll,team_season,1652,779,0.0010359886508687177,-0.0010481790021713074,0.00311500146667319,False,False
DOMESTIC_AD_GOALS_FORM,DOMESTIC_AD,PHASE:QUALIFYING,exact_score_nll,calendar_month,1652,10,0.0010359886508687177,-0.0019943282790943007,0.004321335760997405,False,False
DOMESTIC_AD_GOALS_FORM,DOMESTIC_AD,PHASE:QUALIFYING,exact_score_nll,conservative_envelope,1652,,0.0010359886508687177,-0.0019943282790943007,0.004321335760997405,False,False
DOMESTIC_AD_GOALS_FORM,DOMESTIC_AD,PHASE:QUALIFYING,over_2_5_brier,tie_or_match,1652,829,0.000395982819002601,-0.0005233462896983386,0.0013038930904550252,False,False
DOMESTIC_AD_GOALS_FORM,DOMESTIC_AD,PHASE:QUALIFYING,over_2_5_brier,team_season,1652,779,0.000395982819002601,-0.00028602459950281134,0.0010591153180408005,False,False
DOMESTIC_AD_GOALS_FORM,DOMESTIC_AD,PHASE:QUALIFYING,over_2_5_brier,calendar_month,1652,10,0.000395982819002601,-0.0006281124077247721,0.0014617465220781187,False,False
DOMESTIC_AD_GOALS_FORM,DOMESTIC_AD,PHASE:QUALIFYING,over_2_5_brier,conservative_envelope,1652,,0.000395982819002601,-0.0006281124077247721,0.0014617465220781187,False,False
DOMESTIC_AD_GOALS_FORM,DOMESTIC_AD,XG_PRESENT,exact_score_nll,tie_or_match,2074,1746,-0.001307570575970381,-0.004221586801916862,0.0014904930269865953,False,False
DOMESTIC_AD_GOALS_FORM,DOMESTIC_AD,XG_PRESENT,exact_score_nll,team_season,2074,437,-0.001307570575970381,-0.00329221228238516,0.0006063669776096062,False,False
DOMESTIC_AD_GOALS_FORM,DOMESTIC_AD,XG_PRESENT,exact_score_nll,calendar_month,2074,43,-0.001307570575970381,-0.0034546530475973074,0.0008254962370710348,False,False
DOMESTIC_AD_GOALS_FORM,DOMESTIC_AD,XG_PRESENT,exact_score_nll,conservative_envelope,2074,,-0.001307570575970381,-0.004221586801916862,0.0014904930269865953,False,False
DOMESTIC_AD_GOALS_FORM,DOMESTIC_AD,XG_PRESENT,over_2_5_brier,tie_or_match,2074,1746,5.760209301175222e-05,-0.0007882273500397844,0.0009125983608317886,False,False
DOMESTIC_AD_GOALS_FORM,DOMESTIC_AD,XG_PRESENT,over_2_5_brier,team_season,2074,437,5.760209301175222e-05,-0.0005170939914510955,0.0006254028724480021,False,False
DOMESTIC_AD_GOALS_FORM,DOMESTIC_AD,XG_PRESENT,over_2_5_brier,calendar_month,2074,43,5.760209301175222e-05,-0.0009663007948141482,0.0010808221345818222,False,False
DOMESTIC_AD_GOALS_FORM,DOMESTIC_AD,XG_PRESENT,over_2_5_brier,conservative_envelope,2074,,5.760209301175222e-05,-0.0009663007948141482,0.0010808221345818222,False,False
DOMESTIC_AD_GOALS_FORM,DOMESTIC_AD,XG_ABSENT,exact_score_nll,tie_or_match,1454,751,0.0008222463549287975,-0.0023011960779297123,0.003992988249291573,False,False
DOMESTIC_AD_GOALS_FORM,DOMESTIC_AD,XG_ABSENT,exact_score_nll,team_season,1454,741,0.0008222463549287975,-0.0015421092271186204,0.0031077344664249625,False,False
DOMESTIC_AD_GOALS_FORM,DOMESTIC_AD,XG_ABSENT,exact_score_nll,calendar_month,1454,16,0.0008222463549287975,-0.0022915589346636667,0.004409919567122821,False,False
DOMESTIC_AD_GOALS_FORM,DOMESTIC_AD,XG_ABSENT,exact_score_nll,conservative_envelope,1454,,0.0008222463549287975,-0.0023011960779297123,0.004409919567122821,False,False
DOMESTIC_AD_GOALS_FORM,DOMESTIC_AD,XG_ABSENT,over_2_5_brier,tie_or_match,1454,751,0.00045882595709486885,-0.000547216743223845,0.001451464967061398,False,False
DOMESTIC_AD_GOALS_FORM,DOMESTIC_AD,XG_ABSENT,over_2_5_brier,team_season,1454,741,0.00045882595709486885,-0.00028199036876848306,0.0011938968028759717,False,False
DOMESTIC_AD_GOALS_FORM,DOMESTIC_AD,XG_ABSENT,over_2_5_brier,calendar_month,1454,16,0.00045882595709486885,-0.0006302413860426463,0.00172986259342364,False,False
DOMESTIC_AD_GOALS_FORM,DOMESTIC_AD,XG_ABSENT,over_2_5_brier,conservative_envelope,1454,,0.00045882595709486885,-0.0006302413860426463,0.00172986259342364,False,False
DOMESTIC_AD_XG_FORM,DOMESTIC_AD,ALL,exact_score_nll,tie_or_match,3528,2457,-0.0021488459057865785,-0.004372516825872427,3.7242482955027804e-05,False,False
DOMESTIC_AD_XG_FORM,DOMESTIC_AD,ALL,exact_score_nll,team_season,3528,939,-0.0021488459057865785,-0.0037299964160393915,-0.0005966878291564757,True,False
DOMESTIC_AD_XG_FORM,DOMESTIC_AD,ALL,exact_score_nll,calendar_month,3528,45,-0.0021488459057865785,-0.005292321788162029,0.0005019724829169737,False,False
DOMESTIC_AD_XG_FORM,DOMESTIC_AD,ALL,exact_score_nll,conservative_envelope,3528,,-0.0021488459057865785,-0.005292321788162029,0.0005019724829169737,False,False
DOMESTIC_AD_XG_FORM,DOMESTIC_AD,ALL,over_2_5_brier,tie_or_match,3528,2457,-0.0002132025964918787,-0.0008258453987361815,0.0004193182360018315,False,False
DOMESTIC_AD_XG_FORM,DOMESTIC_AD,ALL,over_2_5_brier,team_season,3528,939,-0.0002132025964918787,-0.0006317400080640363,0.00022218024027653949,False,False
DOMESTIC_AD_XG_FORM,DOMESTIC_AD,ALL,over_2_5_brier,calendar_month,3528,45,-0.0002132025964918787,-0.0010230894156847334,0.0004914438336825682,False,False
DOMESTIC_AD_XG_FORM,DOMESTIC_AD,ALL,over_2_5_brier,conservative_envelope,3528,,-0.0002132025964918787,-0.0010230894156847334,0.0004914438336825682,False,False
DOMESTIC_AD_XG_FORM,DOMESTIC_AD,PHASE:MAIN,exact_score_nll,tie_or_match,1876,1628,-0.006105854010217962,-0.00944057333728008,-0.0027322831232782997,True,False
