arm,segment,matches,exact_score_nll_vs_elo,total_goals_error_vs_elo,over_2_5_brier_vs_elo,btts_brier_vs_elo
GOALS,ALL,3528,-0.0002007526919775115,-0.0003131970916958067,0.00042283343091282415,-0.0005248388962279375
GOALS,PHASE:MAIN,1876,-0.0014824527643635813,-0.00213766658904033,0.00033008620138467407,-0.00023599772942421084
GOALS,PHASE:QUALIFYING,1652,0.0012547372207320929,0.0017586581002039061,0.0005281565559702149,-0.0008528449670050507
GOALS,XG_PRESENT,2074,-0.0011424976280481748,-0.0020026967914535823,0.00025099440975984464,-0.00026384019809731746
GOALS,XG_ABSENT,1454,0.0011425616116060892,0.0020967220123603333,0.0006679463125299354,-0.0008971300240978863
XG,ALL,3528,-0.0028341392064360283,-0.0042575330986801985,-0.0004989567028249297,-0.0006409489247445006
XG,PHASE:MAIN,1876,-0.008185590432500162,-0.008927450632333564,-0.0013035056889462394,-0.0006918856047576092
XG,PHASE:QUALIFYING,1652,0.0032429325248571382,0.0010455935920787086,0.0004146836712450325,-0.0005831055762550384
XG,XG_PRESENT,2074,-0.006969896018012808,-0.007912149052568589,-0.0011229077496544841,-0.0007204736533919512
XG,XG_ABSENT,1454,0.0030651452689492804,0.0009554472922169995,0.00039105324980539814,-0.0005275140642116171
