arm,segment,metric,method,matches,clusters,mean_difference,ci_95_lower,ci_95_upper,reliable_improvement,reliable_harm
GOALS,ALL,exact_score_nll,tie_or_match,3528,3528,-0.0002007526919775115,-0.00335720080835908,0.002977696235978103,False,False
GOALS,ALL,exact_score_nll,team_season,3528,939,-0.0002007526919775115,-0.0025075972398113594,0.002088336161218781,False,False
GOALS,ALL,exact_score_nll,calendar_month,3528,45,-0.0002007526919775115,-0.004052336120128675,0.0035885935181643016,False,False
GOALS,ALL,exact_score_nll,conservative_envelope,3528,,-0.0002007526919775115,-0.004052336120128675,0.0035885935181643016,False,False
GOALS,ALL,over_2_5_brier,tie_or_match,3528,3528,0.00042283343091282415,-0.0005657680649631135,0.0014564478337549221,False,False
GOALS,ALL,over_2_5_brier,team_season,3528,939,0.00042283343091282415,-0.0003018207785477938,0.0011525909873361592,False,False
GOALS,ALL,over_2_5_brier,calendar_month,3528,45,0.00042283343091282415,-0.0008747132741892316,0.0016563598016771422,False,False
GOALS,ALL,over_2_5_brier,conservative_envelope,3528,,0.00042283343091282415,-0.0008747132741892316,0.0016563598016771422,False,False
GOALS,XG_PRESENT,exact_score_nll,tie_or_match,2074,2074,-0.0011424976280481748,-0.005265940304240967,0.0028934208172811684,False,False
GOALS,XG_PRESENT,exact_score_nll,team_season,2074,437,-0.0011424976280481748,-0.0039044933410585926,0.001640809399311499,False,False
GOALS,XG_PRESENT,exact_score_nll,calendar_month,2074,43,-0.0011424976280481748,-0.004893793887201905,0.002610120583839943,False,False
GOALS,XG_PRESENT,exact_score_nll,conservative_envelope,2074,,-0.0011424976280481748,-0.005265940304240967,0.0028934208172811684,False,False
GOALS,XG_PRESENT,over_2_5_brier,tie_or_match,2074,2074,0.00025099440975984464,-0.0010547137049156936,0.0015557885197073546,False,False
GOALS,XG_PRESENT,over_2_5_brier,team_season,2074,437,0.00025099440975984464,-0.0006666155029354944,0.0011325248886049693,False,False
GOALS,XG_PRESENT,over_2_5_brier,calendar_month,2074,43,0.00025099440975984464,-0.0012496811417066075,0.0017946814594519377,False,False
GOALS,XG_PRESENT,over_2_5_brier,conservative_envelope,2074,,0.00025099440975984464,-0.0012496811417066075,0.0017946814594519377,False,False
XG,ALL,exact_score_nll,tie_or_match,3528,3528,-0.0028341392064360283,-0.0058719299359625155,0.00015798879885418456,False,False
XG,ALL,exact_score_nll,team_season,3528,939,-0.0028341392064360283,-0.0050460016449368,-0.0006383151696121472,True,False
XG,ALL,exact_score_nll,calendar_month,3528,45,-0.0028341392064360283,-0.007158908688131463,0.0010169646720476454,False,False
XG,ALL,exact_score_nll,conservative_envelope,3528,,-0.0028341392064360283,-0.007158908688131463,0.0010169646720476454,False,False
XG,ALL,over_2_5_brier,tie_or_match,3528,3528,-0.0004989567028249297,-0.0013577318816608537,0.00038282648939002645,False,False
XG,ALL,over_2_5_brier,team_season,3528,939,-0.0004989567028249297,-0.0010912970187334449,0.00012409206123943452,False,False
XG,ALL,over_2_5_brier,calendar_month,3528,45,-0.0004989567028249297,-0.0016700476852886635,0.000565609679769209,False,False
XG,ALL,over_2_5_brier,conservative_envelope,3528,,-0.0004989567028249297,-0.0016700476852886635,0.000565609679769209,False,False
XG,XG_PRESENT,exact_score_nll,tie_or_match,2074,2074,-0.006969896018012808,-0.011187001258337124,-0.002857814484938478,True,False
XG,XG_PRESENT,exact_score_nll,team_season,2074,437,-0.006969896018012808,-0.009978825882256655,-0.003983490831194153,True,False
XG,XG_PRESENT,exact_score_nll,calendar_month,2074,43,-0.006969896018012808,-0.010767838997956693,-0.002667807861009683,True,False
XG,XG_PRESENT,exact_score_nll,conservative_envelope,2074,,-0.006969896018012808,-0.011187001258337124,-0.002667807861009683,True,False
XG,XG_PRESENT,over_2_5_brier,tie_or_match,2074,2074,-0.0011229077496544841,-0.0023538144757203373,0.00011104278035277433,False,False
XG,XG_PRESENT,over_2_5_brier,team_season,2074,437,-0.0011229077496544841,-0.002024687957118882,-0.0002462845073130451,True,False
XG,XG_PRESENT,over_2_5_brier,calendar_month,2074,43,-0.0011229077496544841,-0.0025553792420608705,0.00027488261305643385,False,False
XG,XG_PRESENT,over_2_5_brier,conservative_envelope,2074,,-0.0011229077496544841,-0.0025553792420608705,0.00027488261305643385,False,False
