arm,segment,matches,brier_delta_vs_no_xg
XG_SIX_SEASON,ALL,6340,-0.0006141287329882984
XG_SIX_SEASON,PHASE:MAIN,3257,-0.0011685948657798272
XG_SIX_SEASON,PHASE:QUALIFYING,3083,-2.8369344567277138e-05
XG_SIX_SEASON,XG_PRESENT,2827,-0.0013849597612348825
XG_SIX_SEASON,XG_ABSENT,3513,6.178502096555673e-06
XG_2025_26_ONLY,ALL,6340,-0.00018617341436044844
XG_2025_26_ONLY,PHASE:MAIN,3257,-0.0003599653376384695
XG_2025_26_ONLY,PHASE:QUALIFYING,3083,-2.5729297297269124e-06
XG_2025_26_ONLY,XG_PRESENT,2827,-0.00043323599754841694
XG_2025_26_ONLY,XG_ABSENT,3513,1.2644098498187123e-05
