arm,segment,metric,method,matches,clusters,mean_difference,ci_95_lower,ci_95_upper,reliable_improvement,reliable_harm
XG_SIX_SEASON,ALL,brier_1x2,tie_or_match,6340,2114,-0.0006141287329882984,-0.0011347848357085549,-0.00011223120481651643,True,False
XG_SIX_SEASON,ALL,brier_1x2,team_season,6340,1887,-0.0006141287329882984,-0.0008982221599154644,-0.0003295500988854807,True,False
XG_SIX_SEASON,ALL,brier_1x2,calendar_month,6340,87,-0.0006141287329882984,-0.0011494384528603825,-0.00010783804369442643,True,False
XG_SIX_SEASON,ALL,brier_1x2,conservative_envelope,6340,,-0.0006141287329882984,-0.0011494384528603825,-0.00010783804369442643,True,False
XG_SIX_SEASON,ALL,log_loss_1x2,tie_or_match,6340,2114,-0.0008704467934520162,-0.0016349496926128747,-0.0001359025518369538,True,False
XG_SIX_SEASON,ALL,log_loss_1x2,team_season,6340,1887,-0.0008704467934520162,-0.0012757184883052356,-0.00046419152266345096,True,False
XG_SIX_SEASON,ALL,log_loss_1x2,calendar_month,6340,87,-0.0008704467934520162,-0.001637757111891042,-0.00013492792424425184,True,False
XG_SIX_SEASON,ALL,log_loss_1x2,conservative_envelope,6340,,-0.0008704467934520162,-0.001637757111891042,-0.00013492792424425184,True,False
XG_SIX_SEASON,PHASE:MAIN,brier_1x2,tie_or_match,3257,466,-0.0011685948657798272,-0.0020856457376467368,-0.00022308750243119296,True,False
XG_SIX_SEASON,PHASE:MAIN,brier_1x2,team_season,3257,744,-0.0011685948657798272,-0.001722961035889099,-0.0006418386335991347,True,False
XG_SIX_SEASON,PHASE:MAIN,brier_1x2,calendar_month,3257,66,-0.0011685948657798272,-0.002103102275555398,-0.00020950358396001312,True,False
XG_SIX_SEASON,PHASE:MAIN,brier_1x2,conservative_envelope,3257,,-0.0011685948657798272,-0.002103102275555398,-0.00020950358396001312,True,False
XG_SIX_SEASON,PHASE:MAIN,log_loss_1x2,tie_or_match,3257,466,-0.0016589625704475936,-0.0029920760128300064,-0.0002528246476385931,True,False
XG_SIX_SEASON,PHASE:MAIN,log_loss_1x2,team_season,3257,744,-0.0016589625704475936,-0.0024491731144123782,-0.00088897914431947,True,False
XG_SIX_SEASON,PHASE:MAIN,log_loss_1x2,calendar_month,3257,66,-0.0016589625704475936,-0.0030071942671411832,-0.0002747430646676951,True,False
XG_SIX_SEASON,PHASE:MAIN,log_loss_1x2,conservative_envelope,3257,,-0.0016589625704475936,-0.0030071942671411832,-0.0002528246476385931,True,False
XG_SIX_SEASON,XG_PRESENT,brier_1x2,tie_or_match,2827,513,-0.0013849597612348825,-0.0023915152963128374,-0.0003322620546500191,True,False
XG_SIX_SEASON,XG_PRESENT,brier_1x2,team_season,2827,614,-0.0013849597612348825,-0.002008259272906549,-0.0007526439405116994,True,False
XG_SIX_SEASON,XG_PRESENT,brier_1x2,calendar_month,2827,62,-0.0013849597612348825,-0.0024653106380999818,-0.00027758011643494213,True,False
XG_SIX_SEASON,XG_PRESENT,brier_1x2,conservative_envelope,2827,,-0.0013849597612348825,-0.0024653106380999818,-0.00027758011643494213,True,False
XG_SIX_SEASON,XG_PRESENT,log_loss_1x2,tie_or_match,2827,513,-0.0019493556094686256,-0.0034450890929794637,-0.00036829734062723027,True,False
XG_SIX_SEASON,XG_PRESENT,log_loss_1x2,team_season,2827,614,-0.0019493556094686256,-0.0028223194903274932,-0.0010413227665701864,True,False
